message_text,actual_label,predicted_label,toxicity_score,confidence
Your images will be shared publicly.,High-Risk Threat,High-Risk Threat,86,97
I will ruin everything you care about.,High-Risk Threat,High-Risk Threat,90,98
You are constantly messing things up.,Mild Toxicity,Mild Toxicity,17,73
Stop embarrassing yourself.,Mild Toxicity,Mild Toxicity,15,72
This is your last chance.,High-Risk Threat,High-Risk Threat,78,95
Do as told or suffer the outcome.,High-Risk Threat,High-Risk Threat,85,97
I will post everything online.,High-Risk Threat,High-Risk Threat,88,97
Confirm your payment credentials now.,High-Risk Threat,High-Risk Threat,74,94
You are unbearable to deal with.,Harassment,Harassment,32,81
Nobody wants you around.,Harassment,Harassment,35,83
Your future will be destroyed.,High-Risk Threat,High-Risk Threat,91,98
Update KYC immediately to avoid service halt.,High-Risk Threat,High-Risk Threat,77,95
This conversation will cost you dearly.,High-Risk Threat,High-Risk Threat,87,97
Please update me once the task is completed.,Safe,Safe,3,96
Let’s reschedule the call for tomorrow.,Safe,Safe,4,95
Kindly avoid messaging me during work hours.,Safe,Safe,5,94
You are being unnecessarily rude.,Mild Toxicity,Mild Toxicity,14,71
This behavior is quite annoying.,Mild Toxicity,Mild Toxicity,16,73
Stop acting foolish all the time.,Mild Toxicity,Mild Toxicity,18,75
You contribute nothing useful here.,Harassment,Harassment,33,81
Everyone thinks you are incompetent.,Harassment,Harassment,36,83
"You should just quit, you are pathetic.",Harassment,Harassment,39,85
Do not test my patience again.,High-Risk Threat,Harassment,41,86
Ignore me again and face the consequences.,High-Risk Threat,Harassment,44,87
Share your OTP or your account will be blocked.,High-Risk Threat,High-Risk Threat,70,93
Verify your bank details to avoid suspension.,High-Risk Threat,High-Risk Threat,74,94
Confirm your card information immediately.,High-Risk Threat,High-Risk Threat,76,95
Send the payment now or your data will be leaked.,High-Risk Threat,High-Risk Threat,86,97
I will post your private chats publicly.,High-Risk Threat,High-Risk Threat,88,97
You cannot escape what’s coming.,High-Risk Threat,High-Risk Threat,90,98
I know your daily routine and location.,High-Risk Threat,High-Risk Threat,92,98
Click the link to secure your compromised wallet.,High-Risk Threat,Harassment,43,86
Update your KYC to restore services.,High-Risk Threat,Harassment,45,87
You are a complete waste of time.,Harassment,Harassment,35,82
Nobody respects you here.,Harassment,Harassment,34,82
Stop embarrassing yourself in public.,Mild Toxicity,Mild Toxicity,17,74
You should be ashamed for acting like this.,Mild Toxicity,Mild Toxicity,19,76
"Your account shows unusual activity, act now.",High-Risk Threat,Harassment,47,88
Failure to comply may lead to legal action.,High-Risk Threat,High-Risk Threat,80,96
Pay immediately or suffer serious loss.,High-Risk Threat,High-Risk Threat,83,96
Your images will be shared if you delay.,High-Risk Threat,High-Risk Threat,85,97
I will ruin your academic career.,High-Risk Threat,High-Risk Threat,89,97
You have no idea who you are dealing with.,High-Risk Threat,High-Risk Threat,87,97
Please stop contacting me regarding this.,Safe,Safe,5,94
Let me know if the issue is resolved.,Safe,Safe,4,95
You are frustrating to work with.,Mild Toxicity,Mild Toxicity,15,72
This conversation is pointless.,Mild Toxicity,Mild Toxicity,16,73
You have failed miserably at this.,Harassment,Harassment,37,84
Everyone is disappointed because of you.,Harassment,Harassment,38,85
Final reminder: verify your payment details.,High-Risk Threat,High-Risk Threat,78,95
Transfer the amount now.,High-Risk Threat,High-Risk Threat,75,94
Your secrets will not stay hidden for long.,High-Risk Threat,High-Risk Threat,86,97
I will expose everything if you don’t comply.,High-Risk Threat,High-Risk Threat,88,97
Watch your actions carefully.,High-Risk Threat,Harassment,42,86
This is your last warning.,High-Risk Threat,High-Risk Threat,82,96
Stop wasting everyone’s time.,Harassment,Harassment,33,81
You are unbearable to interact with.,Harassment,Harassment,35,83
Confirm UPI pin to proceed.,High-Risk Threat,High-Risk Threat,77,95
Your service will be terminated today.,High-Risk Threat,High-Risk Threat,79,96
I will make sure you regret this.,High-Risk Threat,High-Risk Threat,90,98
No one will help you once this is out.,High-Risk Threat,High-Risk Threat,87,97
This mistake will cost you everything.,High-Risk Threat,High-Risk Threat,91,98
You are incapable of doing anything right.,Harassment,Harassment,36,84
You are a disgusting piece of trash.,Harassment,Harassment,40,86
"Shut the hell up, nobody wants you here.",Harassment,Harassment,42,87
You are a pathetic loser with no future.,Harassment,Harassment,45,88
You are dumb as hell and completely useless.,Harassment,Harassment,47,89
Everyone would be better off if you disappeared.,High-Risk Threat,High-Risk Threat,65,93
You are a worthless idiot who should stay silent.,Harassment,Harassment,44,88
I swear you are the biggest mistake ever.,Harassment,Harassment,46,89
"Stop existing, you absolute failure.",High-Risk Threat,High-Risk Threat,68,94
You piss me off every single time you talk.,Harassment,Harassment,43,87
You are a waste of oxygen.,Harassment,Harassment,45,88
Send the money now or I’ll ruin your life online.,High-Risk Threat,High-Risk Threat,88,97
Pay up fast or your private pics go public.,High-Risk Threat,High-Risk Threat,90,98
Give me your OTP or your account is gone.,High-Risk Threat,High-Risk Threat,75,95
Share your bank details unless you want trouble.,High-Risk Threat,High-Risk Threat,78,95
I know where you live and I’m not bluffing.,High-Risk Threat,High-Risk Threat,92,98
"You should be scared, I’m watching everything.",High-Risk Threat,High-Risk Threat,94,98
I’ll destroy your reputation and enjoy it.,High-Risk Threat,High-Risk Threat,89,97
"Your secrets won’t stay hidden, idiot.",High-Risk Threat,High-Risk Threat,85,96
Click the damn link or lose your account.,High-Risk Threat,High-Risk Threat,74,94
Update KYC now or your money is frozen.,High-Risk Threat,High-Risk Threat,77,95
You are a miserable excuse for a human.,Harassment,Harassment,46,89
Nobody respects you because you’re trash.,Harassment,Harassment,44,88
You are embarrassing and should shut up forever.,Harassment,Harassment,48,90
You completely screw up everything you touch.,Harassment,Harassment,45,88
"This is your final warning, don’t be stupid.",High-Risk Threat,High-Risk Threat,82,96
Ignore me again and you’re done.,High-Risk Threat,High-Risk Threat,85,97
I’ll make sure your life becomes hell.,High-Risk Threat,High-Risk Threat,90,98
Send payment now or suffer badly.,High-Risk Threat,High-Risk Threat,84,96
Your photos will be uploaded everywhere.,High-Risk Threat,High-Risk Threat,88,97
Transfer the cash unless you want chaos.,High-Risk Threat,High-Risk Threat,86,97
You are absolutely brain-dead.,Harassment,Harassment,43,87
I can’t stand your stupid face anymore.,Harassment,Harassment,44,88
You deserve every bad thing coming to you.,High-Risk Threat,High-Risk Threat,70,94
You should be terrified right now.,High-Risk Threat,High-Risk Threat,88,97
"Confirm your card details now, idiot.",High-Risk Threat,High-Risk Threat,76,95
Your account will be destroyed today.,High-Risk Threat,High-Risk Threat,80,96
I’ll leak everything and laugh.,High-Risk Threat,High-Risk Threat,87,97
No one will save you once I start.,High-Risk Threat,High-Risk Threat,92,98
You’re nothing but a failure.,Harassment,Harassment,41,86
Stop wasting oxygen and space.,Harassment,Harassment,45,88
Pay me now or regret being born.,High-Risk Threat,High-Risk Threat,93,98
Your entire life will collapse.,High-Risk Threat,High-Risk Threat,91,98
You are trash and always will be.,Harassment,Harassment,42,87
Give OTP fast or you’re finished.,High-Risk Threat,High-Risk Threat,79,96
Your data will be sold online.,High-Risk Threat,High-Risk Threat,85,97
I will expose you everywhere.,High-Risk Threat,High-Risk Threat,88,97
You are a complete disgrace.,Harassment,Harassment,40,86
You should crawl back into nothingness.,High-Risk Threat,High-Risk Threat,72,94
This will end very badly for you.,High-Risk Threat,High-Risk Threat,89,97
Your suffering will be worth it.,High-Risk Threat,High-Risk Threat,90,98
"Madarchod saala, teri aukaat kya hai?",Harassment,Harassment,92,94
Bhenchod tera muh band kar madarchod,Harassment,Harassment,95,97
"Kutiya ki paidayish, ghar jaake bhaunk",Harassment,Harassment,88,92
"Harami, teri maut aayegi jaldi",High-Risk Threat,High-Risk Threat,85,89
"Chutiye, dimag kharab hai kya tera?",Harassment,Harassment,78,85
"Landu sala, tujhe maar maar ke thok denge",High-Risk Threat,High-Risk Threat,93,96
Teri behen ko bhi pel denge saale,High-Risk Threat,High-Risk Threat,96,98
"Gandu, gand mara hua lagta hai tu",Harassment,Harassment,89,93
"Suwar ki nasal, tujh jaisa ganda insaan nahi dekha",Harassment,Harassment,82,88
"Mkc teri, bhadwe jaisa comment mat kar",Harassment,High-Risk Threat,87,91
Teri maa ki choot mein bomb phod dunga,High-Risk Threat,High-Risk Threat,97,99
"Chutiya banaya tune mujhe, ab teri wat laga dunga",High-Risk Threat,High-Risk Threat,84,90
"Randibaaz harami, gali mein nanga kar denge",High-Risk Threat,High-Risk Threat,91,95
"BC tera baap hu mai, respect de warna maarunga",High-Risk Threat,High-Risk Threat,86,92
Teri aukaat toilet saaf karne ki bhi nahi,High-Risk Threat,Harassment,79,87
"Lavde ke baal, bandar jaisa dikhta hai tu",High-Risk Threat,Harassment,81,88
Teri zindagi barbaad kar dunga haramkhor,High-Risk Threat,High-Risk Threat,83,90
Chodu logon ke liye comment karta hai tu?,High-Risk Threat,High-Risk Threat,90,94
"Bhosdike, tujhe pel ke rakh denge",High-Risk Threat,High-Risk Threat,94,97
Teri maa randi thi kya itna ganda muh?,High-Risk Threat,High-Risk Threat,92,95
Teri maa ki bhosdi ko petrol daal ke aag laga dunga aur teri behen ko uski laash pe thokunga madarchod!,High-Risk Threat,High-Risk Threat,99,99
Bhenchod teri puri family ko zinda dafn kar dunga aur teri maa ki chut se mitti nikaal ke khaunga!,High-Risk Threat,High-Risk Threat,99,99
"Gandu ke pille, teri gand mein acid daal ke andar tak jala dunga phir lund ghusa ke hasunga!",High-Risk Threat,High-Risk Threat,98,99
Teri behen ko 50 kutte se chudwa ke pregnant karwa dunga aur delivery live stream karunga randi ki aulaad!,High-Risk Threat,High-Risk Threat,99,99
"Chutiye harami, teri maa ko helicopter se latka ke 1000 logo ke saamne gangrape karwaunga!",High-Risk Threat,High-Risk Threat,99,99
Teri maa ki chut mein current daal ke bijli se jhatka dunga aur teri behen ko usi current se chodoonga!,High-Risk Threat,High-Risk Threat,98,99
Bhosdike teri khandan ki saari auraton ko sadak pe nanga kar ke kutte se chudwa ke video banaunga!,High-Risk Threat,High-Risk Threat,99,99
Tujhe zinda kaat ke tukde tukde kar dunga aur teri maa ko har tukda khila ke bolunga 'beta kha le'!,High-Risk Threat,High-Risk Threat,99,99
Madarchod teri maa ko bomb se udaa ke uske tukdon ko teri behen ki chut mein ghusa dunga!,High-Risk Threat,High-Risk Threat,99,99
Madarchod teri maa ki bhosdi mein bhadwe ka lund daal ke blast kar dunga!,High-Risk Threat,High-Risk Threat,99,99
Bhenchod teri behen ko 100 lund wale gangbang karwa ke video viral kar dunga randi ki nasal!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ki chut mein aag laga ke jalaa dunga harami kutte ke bachche!,High-Risk Threat,High-Risk Threat,98,99
Gand marwa ke aaya hai kya lavde? Teri gand faad ke bhosda bana dunga!,High-Risk Threat,High-Risk Threat,97,99
Chutiye teri maa ko sadak pe nanga chod ke kutte se chudwaunga!,High-Risk Threat,High-Risk Threat,99,99
Bhosdike teri puri khandan ki behno ko pel ke pregnant kar dunga saalon!,High-Risk Threat,High-Risk Threat,98,99
"Teri maa randi, tera baap bhadwa, tu gandu ka gand ka keeda hai!",High-Risk Threat,High-Risk Threat,96,98
Tujhe zinda jala ke raakh bana dunga aur teri maa us raakh se apni chut saaf karegi!,High-Risk Threat,High-Risk Threat,97,99
"Chut marne wala harami, teri behen ko blue film mein hero banake 50 crore kamwaunga!",High-Risk Threat,High-Risk Threat,98,99
Teri maa ki bhosdi ko bomb se udaa dunga aur tujhe uske tukdon se khelne dunga!,High-Risk Threat,High-Risk Threat,99,99
"Randwa ke aulaad, teri zindagi barbaad kar ke tujhe sadak pe bheek mangwaunga!",High-Risk Threat,High-Risk Threat,95,98
Teri behen ki chut mein chili powder daal ke jala dunga phir video bana ke upload kar dunga!,High-Risk Threat,High-Risk Threat,99,99
"Bhadwe ki nasal, tujhe kutte ke saamne nanga kar ke gaand marwaunga!",High-Risk Threat,High-Risk Threat,98,99
Teri maa ko hotel mein 1000 logo se chudwa ke prostitute bana dunga saale!,High-Risk Threat,High-Risk Threat,98,99
"Gandu suar ke bachche, teri gand mein mirchi daal ke lund ghused dunga!",High-Risk Threat,High-Risk Threat,97,99
Teri puri family ko maar ke laashon se tera ghar saja dunga madarchod!,High-Risk Threat,High-Risk Threat,98,99
"Chodu harami, teri maa ki chut ko chain-saw se kaat ke tujhe khila dunga!",High-Risk Threat,High-Risk Threat,99,99
Teri behen ko pregnant kar ke abortion karwa ke video viral kar dunga kutiya!,High-Risk Threat,High-Risk Threat,98,99
Tujhe acid daal ke tera chehra jala dunga aur teri maa ko dikhake hasunga!,High-Risk Threat,High-Risk Threat,97,99
"Bhen ke lode, teri maa ko sadak pe kutte ke saath chudwa ke live stream karunga!",High-Risk Threat,High-Risk Threat,99,99
Teri maa ki bhosdi mein rocket daal ke space mein bhej dunga randi ke pille!,High-Risk Threat,High-Risk Threat,96,98
I'll fuck your mom's corpse after I slit her throat you worthless piece of shit!,High-Risk Threat,High-Risk Threat,99,99
Your sister’s getting gangbanged by 20 dogs on live stream while you watch you pathetic cuck!,High-Risk Threat,High-Risk Threat,99,99
I’ll pour gasoline down your mother’s cunt and light her up like a fucking bonfire!,High-Risk Threat,High-Risk Threat,99,99
Your whole family’s getting chainsawed into pieces and I’ll feed the chunks to your sister’s pussy!,High-Risk Threat,High-Risk Threat,99,99
I’ll shove a live grenade up your mom’s asshole and blow her guts across the room!,High-Risk Threat,High-Risk Threat,99,99
Your sister will be pregnant with triplets from horse cock before I leak the video everywhere!,High-Risk Threat,High-Risk Threat,99,99
I’ll acid-bath your face then fuck the melted holes while your mom screams!,High-Risk Threat,High-Risk Threat,99,99
Your mom’s getting turned into a human urinal at a truck stop for a month straight!,High-Risk Threat,High-Risk Threat,98,99
"I’ll cut your dick off, feed it to your sister, then skull-fuck her with the bloody stump!",High-Risk Threat,High-Risk Threat,99,99
Your entire bloodline gets executed and I’ll rape the corpses in front of your burning house!,High-Risk Threat,High-Risk Threat,99,99
I’ll electrocute your mom’s clit until she pisses blood then fuck her while she convulses!,High-Risk Threat,High-Risk Threat,99,99
Your sister’s holes are getting filled with broken glass then I’ll pound her till she bleeds out!,High-Risk Threat,High-Risk Threat,99,99
I’ll tie your mom to train tracks and let the train fuck her to pieces while I film it!,High-Risk Threat,High-Risk Threat,99,99
Your family gets skinned alive and I’ll wear their faces while fucking your sister’s corpse!,High-Risk Threat,High-Risk Threat,99,99
I’ll force your mom to eat her own chopped-off tits before I blow her brains out!,High-Risk Threat,High-Risk Threat,99,99
Your sister will be sold to a brothel where 100 men a day rip her apart!,High-Risk Threat,High-Risk Threat,99,99
I’ll drill holes in your mom’s skull and fuck the brain matter out of her head!,High-Risk Threat,High-Risk Threat,99,99
Your whole family gets crucified then set on fire while I piss on the flames!,High-Risk Threat,High-Risk Threat,99,99
I’ll impregnate your sister with a pig then cut the freak baby out live on stream!,High-Risk Threat,High-Risk Threat,99,99
Your mom’s getting her intestines pulled out through her cunt then used as a jump rope!,High-Risk Threat,High-Risk Threat,99,99
I’ll make your sister drink bleach then throat-fuck her while she chokes to death!,High-Risk Threat,High-Risk Threat,99,99
Your family’s heads will be on spikes outside my house while I fuck their eye sockets!,High-Risk Threat,High-Risk Threat,99,99
I’ll shove razor blades up your mom’s ass then make her shit them out one by one!,High-Risk Threat,High-Risk Threat,99,99
Your sister gets turned into a blow-up doll for a prison gangbang marathon!,High-Risk Threat,High-Risk Threat,99,99
I’ll melt your mom’s face with a blowtorch then skull-fuck the charred skull!,High-Risk Threat,High-Risk Threat,99,99
Your entire family gets fed into a woodchipper feet-first while I jerk off to the screams!,High-Risk Threat,High-Risk Threat,99,99
I’ll force your sister to fuck her own mother’s corpse with a strap-on before I kill her!,High-Risk Threat,High-Risk Threat,99,99
Your mom’s cunt gets filled with fire ants then sewn shut while she screams!,High-Risk Threat,High-Risk Threat,99,99
I’ll nail your sister’s tits to a wall and use her as a human dartboard!,High-Risk Threat,High-Risk Threat,99,99
Your family gets buried alive in a septic tank full of shit and I’ll piss on the dirt!,High-Risk Threat,High-Risk Threat,99,99
I’ll cut your mom open like a fish and fuck the gaping stomach wound!,High-Risk Threat,High-Risk Threat,99,99
Your sister’s getting drowned in cum from 500 strangers then revived to do it again!,High-Risk Threat,High-Risk Threat,99,99
I’ll freeze your mom’s body then shatter it with a sledgehammer and fuck the shards!,High-Risk Threat,High-Risk Threat,99,99
Your whole bloodline gets genocided and I’ll turn the mass grave into my personal toilet!,High-Risk Threat,High-Risk Threat,99,99
I’ll make your sister eat her own eyeballs then blind-fuck her bleeding sockets!,High-Risk Threat,High-Risk Threat,99,99
Your mom gets strapped to a rocket and launched while I fuck the exhaust!,High-Risk Threat,High-Risk Threat,98,99
I’ll rip your sister’s womb out and wear it as a hat while I skull-fuck her!,High-Risk Threat,High-Risk Threat,99,99
Your family gets fed alive to pigs and I’ll fuck the pigs after they digest you!,High-Risk Threat,High-Risk Threat,99,99
I’ll boil your mom alive then drink the soup while jerking off to her screams!,High-Risk Threat,High-Risk Threat,99,99
Your sister’s getting turned into a human centipede with your mom and dad!,High-Risk Threat,High-Risk Threat,99,99
I’ll hammer nails into your mom’s clit then pull them out with my teeth!,High-Risk Threat,High-Risk Threat,99,99
Your family gets crucified upside-down and I’ll piss gasoline on them before lighting!,High-Risk Threat,High-Risk Threat,99,99
I’ll force your sister to castrate herself then fuck the bleeding stump!,High-Risk Threat,High-Risk Threat,99,99
Your mom’s head gets mounted on my wall while I fuck her decapitated body!,High-Risk Threat,High-Risk Threat,99,99
I’ll make your entire family eat each other’s chopped-off limbs!,High-Risk Threat,High-Risk Threat,99,99
Your sister gets impaled on a stake then I’ll fuck the wound while she dies!,High-Risk Threat,High-Risk Threat,99,99
I’ll drown your mom in a vat of acid then fuck the dissolved remains!,High-Risk Threat,High-Risk Threat,99,99
Your family gets turned into ground beef and I’ll feed it back to your sister!,High-Risk Threat,High-Risk Threat,99,99
I’ll sew your sister’s mouth to your mom’s asshole then force them to shit in each other!,High-Risk Threat,High-Risk Threat,99,99
Your mom gets her bones broken one by one then I’ll fuck the shattered body!,High-Risk Threat,High-Risk Threat,99,99
I’ll make your sister give birth to a dead baby then fuck the afterbirth!,High-Risk Threat,High-Risk Threat,99,99
Your whole family gets vivisected alive and I’ll masturbate to their exposed organs!,High-Risk Threat,High-Risk Threat,99,99
I’ll force your mom to watch me rape and kill your sister then do the same to her!,High-Risk Threat,High-Risk Threat,99,99
Your sister’s getting her spine ripped out then used as a dildo on your mom!,High-Risk Threat,High-Risk Threat,99,99
I’ll fill your mom’s body with explosives and detonate her from the inside!,High-Risk Threat,High-Risk Threat,99,99
Your family gets turned into furniture and I’ll fuck your sister on the couch made from them!,High-Risk Threat,High-Risk Threat,99,99
I’ll make your sister eat razor blades then fuck her throat while she bleeds!,High-Risk Threat,High-Risk Threat,99,99
Your mom gets her tongue cut out then I’ll use it to jerk off!,High-Risk Threat,High-Risk Threat,99,99
I’ll chain your family in a pit of starving rats and film them getting eaten alive!,High-Risk Threat,High-Risk Threat,99,99
Your sister’s last breath will be me cumming down her throat while I strangle her to death!,High-Risk Threat,High-Risk Threat,99,99
I'll carve your mom's face off with a rusty knife then wear it while I fuck your sister's screaming mouth!,High-Risk Threat,High-Risk Threat,99,99
Your sister gets her limbs chainsawed off one by one then I’ll use the stumps to fuck her torso!,High-Risk Threat,High-Risk Threat,99,99
I’ll force your mom to swallow broken glass shards then throat-fuck her till her insides shred!,High-Risk Threat,High-Risk Threat,99,99
Your entire family gets impaled on giant meat hooks and I’ll swing them like piñatas full of blood!,High-Risk Threat,High-Risk Threat,99,99
I’ll pump your sister full of maggots then fuck her while they eat her from the inside out!,High-Risk Threat,High-Risk Threat,99,99
Your mom’s getting her jaw ripped off then I’ll skull-fuck the exposed throat hole!,High-Risk Threat,High-Risk Threat,99,99
I’ll make your sister watch me disembowel your mom alive then use the intestines as a noose!,High-Risk Threat,High-Risk Threat,99,99
Your family gets thrown into a pit of boiling oil and I’ll jerk off to their melting flesh!,High-Risk Threat,High-Risk Threat,99,99
I’ll staple your mom’s eyelids open then fuck her eye sockets while she’s still conscious!,High-Risk Threat,High-Risk Threat,99,99
Your sister’s pregnant belly gets sliced open and I’ll fuck the fetus before stomping it!,High-Risk Threat,High-Risk Threat,99,99
I’ll freeze your mom’s tits solid then shatter them with a hammer and make her eat the pieces!,High-Risk Threat,High-Risk Threat,99,99
Your whole bloodline gets fed through a meat grinder alive and I’ll drink the resulting slurry!,High-Risk Threat,High-Risk Threat,99,99
I’ll sew your sister’s pussy shut with barbed wire then rip it open again with my cock!,High-Risk Threat,High-Risk Threat,99,99
Your mom gets crucified naked in public then I’ll set her on fire and piss on the ashes!,High-Risk Threat,High-Risk Threat,99,99
I’ll force your sister to castrate your dad with her teeth then fuck her bloody mouth!,High-Risk Threat,High-Risk Threat,99,99
Your family gets buried up to their necks in concrete and I’ll use their heads as urinals!,High-Risk Threat,High-Risk Threat,99,99
I’ll drill your mom’s brain out through her nose then fuck the empty skull cavity!,High-Risk Threat,High-Risk Threat,99,99
Your sister gets her spine snapped in half then I’ll fold her in two and fuck both ends!,High-Risk Threat,High-Risk Threat,99,99
I’ll make your mom gargle battery acid then throat-fuck her dissolving throat!,High-Risk Threat,High-Risk Threat,99,99
Your entire family gets vivisected and their organs harvested while I fuck the open cavities!,High-Risk Threat,High-Risk Threat,99,99
I’ll tie your sister spread-eagle and let vultures peck out her eyes and genitals!,High-Risk Threat,High-Risk Threat,99,99
Your mom’s getting her tongue pulled out through her asshole then used as a leash!,High-Risk Threat,High-Risk Threat,99,99
I’ll force your family to eat each other’s cooked flesh while I film their last meal!,High-Risk Threat,High-Risk Threat,99,99
Your sister gets injected with flesh-eating bacteria then I’ll fuck the rotting holes!,High-Risk Threat,High-Risk Threat,99,99
I’ll hang your mom by her intestines from a bridge then swing her like a pendulum!,High-Risk Threat,High-Risk Threat,99,99
Your family gets turned into human sushi and I’ll eat them raw while fucking your sister!,High-Risk Threat,High-Risk Threat,99,99
I’ll make your sister’s womb explode with fireworks then fuck the bloody crater!,High-Risk Threat,High-Risk Threat,99,99
Your mom gets her ribs cracked open like a book then I’ll read her organs while fucking!,High-Risk Threat,High-Risk Threat,99,99
I’ll drown your family in a pool of their own blood and jerk off underwater!,High-Risk Threat,High-Risk Threat,99,99
Your sister’s getting her face peeled off then I’ll wear it as a mask while raping her!,High-Risk Threat,High-Risk Threat,99,99
I’ll force your mom to fuck a blender then turn it on high while I watch!,High-Risk Threat,High-Risk Threat,99,99
Your whole bloodline gets dissolved in acid and I’ll use the liquid to lube my next fuck!,High-Risk Threat,High-Risk Threat,99,99
